locality name,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,price per sqft
Sudarshan Park,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5476.0
Sultanpur,28.4985863,77.1594085,4,Hotel,Donut Shop,Japanese Restaurant,Art Gallery,Luggage Store,Furniture and Home Store,Indian Restaurant,Bar,Metro Station,Museum,5650.0
Tara Nagar,28.6773027,77.1963934,4,Southern Food Restaurant,Park,Boutique,Fried Chicken Joint,Indie Movie Theater,Café,Performing Arts Venue,North Indian Restaurant,Music Venue,Monument,3835.0
Tikri Khurd,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,1866.0
Tri Nagar,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,9379.0
Uttam Nagar,28.6100413,77.0682825,4,Furniture and Home Store,Advertising Agency,Moroccan Restaurant,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,Music Store,4850.0
Uttam Nagar West,28.6100594,77.066694,4,Furniture and Home Store,Advertising Agency,Moroccan Restaurant,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,Music Store,5400.0
Vasant Kunj,28.5292495,77.1541335,3,Café,Arcade,Pizzeria,Vegan and Vegetarian Restaurant,Clothing Store,Music Store,Motorcycle Dealership,Movie Theater,Mughlai Restaurant,Museum,18450.0
Vasant Vihar,28.557827,77.1611168,3,Coffee Shop,Restaurant,Chinese Restaurant,Italian Restaurant,Food and Beverage Retail,Department Store,Dessert Shop,Donut Shop,Fast Food Restaurant,Pub,24254.5
Vasundhara Enclave,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,10550.0
Vikas Puri,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,10750.0
Vinod Nagar East,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5818.0
West Sagarpur,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,3384.0
